username,quality,quantity,methodsOfPayment,serviceability,reputation,flexibility,financialCondition,assets,businessResults,returns,deliveryTime,location
1,4,350,3,3,4,4,4,3,5,5,2,50
2,2,350,2,5,4,3,5,4,6,7,3,60
3,2,450,3,6,5,4,7,8,9,8,4,30
4,4,260,3,6,8,5,7,8,9,7,1,40
5,3,170,3,7,6,2,6,5,4,7,2,35
6,4,180,1,8,8,2,9,7,5,8,0.5,55
7,3,350,1,3,4,4,4,3,5,5,2,62
8,3,250,1,6,5,3,6,5,4,6,4,78
9,5,360,4,9,8,5,8,6,5,6,3,120
10,4,240,4,9,8,3,8,6,6,7,1,50
11,5,120,4,5,6,4,6,7,7,5,2,45
12,2,520,5,7,6,2,6,5,8,8,2,65
13,3,190,5,7,8,3,8,8,9,4,1,80
14,4,450,5,8,7,4,7,6,7,5,3,90
15,3,350,3,6,6,4,6,5,5,4,4,150
16,5,650,2,7,7,3,7,8,6,6,3,220
17,2,870,3,8,9,5,4,3,4,4,1,30
18,4,350,1,6,5,3,5,4,5,6,2,56
19,5,350,5,3,4,4,3,5,4,7,3,45
20,4,650,4,4,5,3,5,4,6,3,3,78
21,5,450,1,5,4,4,6,5,6,5,4,66
22,3,400,2,5,5,4,4,6,7,3,3,55
23,3,550,3,6,8,3,5,4,5,4,4,35
24,3,350,3,8,9,3,7,8,7,4,5,45
25,2,640,4,7,9,4,8,7,8,3,1,71
26,3,120,2,8,7,2,9,8,9,4,3,25
27,3,450,3,9,8,3,8,7,6,3,2,53
28,4,350,4,6,7,4,5,4,5,6,3,51
29,3,150,5,3,6,3,4,6,7,6,4,84
30,4,420,1,4,5,4,5,6,7,7,1,75
31,2,150,1,5,4,2,4,5,6,3,3,42
32,4,250,2,5,4,3,4,5,7,8,2,15
33,3,350,2,4,5,4,6,7,6,5,4,38
34,3,150,3,5,6,3,4,6,5,4,3,84
35,2,150,4,5,6,3,4,6,7,3,1,72
